PCB_ID,Layer_Count,Clock_Frequency_MHz,Rise_Time_ns,Signal_GND_Distance_mm,Trace_Length_mm,Stub_Length_mm,Differential_Pair_Symmetry,Ground_Plane,Shielding,Switching_Regulator,EMI_Score,Result
PCB_0001,6,511,1.4,1.21,223,6.72,88.1,0,0,0,125,FAIL
PCB_0002,8,154,6.7,1.41,180,4.81,100.0,1,1,1,30,PASS
PCB_0003,2,210,3.47,1.78,47,8.1,81.1,0,1,0,75,FAIL
PCB_0004,6,470,4.29,2.3,276,9.51,91.6,0,1,0,95,FAIL
PCB_0005,6,567,8.65,0.39,184,0.22,81.7,1,1,1,55,PASS
PCB_0006,8,556,0.59,2.68,82,9.83,83.1,1,1,0,80,FAIL
PCB_0007,2,262,6.09,0.14,41,0.86,88.8,1,1,0,30,PASS
PCB_0008,2,399,6.19,1.17,89,8.14,90.2,0,1,1,105,FAIL
PCB_0009,6,265,4.27,0.18,115,2.8,85.2,0,1,1,40,PASS
PCB_0010,4,459,2.75,1.24,182,1.32,86.3,0,1,0,90,FAIL
PCB_0011,6,19,2.73,1.62,98,4.4,81.7,0,1,1,55,PASS
PCB_0012,6,251,8.9,1.58,24,6.44,86.1,0,1,0,60,FAIL
PCB_0013,6,260,4.7,0.58,139,3.81,99.3,1,1,0,5,PASS
PCB_0014,6,14,3.64,1.97,197,0.55,98.9,1,0,1,45,PASS
PCB_0015,8,128,4.76,0.23,195,5.99,86.7,0,0,1,65,FAIL
PCB_0016,2,383,6.86,2.31,236,9.02,91.4,0,1,0,110,FAIL
PCB_0017,8,74,1.88,2.85,75,3.83,98.2,0,1,1,60,FAIL
PCB_0018,8,155,4.77,1.09,206,2.16,80.1,0,1,1,60,FAIL
PCB_0019,8,233,6.08,1.6,251,4.43,96.2,0,0,0,55,PASS
PCB_0020,6,248,9.51,1.2,274,0.48,99.0,1,0,0,40,PASS
PCB_0021,4,186,2.9,0.12,123,8.2,81.8,1,0,0,40,PASS
PCB_0022,2,291,3.91,1.22,96,8.26,83.2,1,1,0,55,PASS
PCB_0023,4,72,4.1,2.4,249,5.88,99.2,0,1,0,65,FAIL
PCB_0024,8,226,6.25,1.83,277,3.53,90.8,0,1,0,55,PASS
PCB_0025,8,470,3.89,0.39,283,8.0,80.3,1,1,1,60,FAIL
PCB_0026,4,114,5.57,2.56,201,5.55,85.2,1,0,0,65,FAIL
PCB_0027,4,108,7.93,1.64,275,8.26,89.0,0,1,1,80,FAIL
PCB_0028,4,520,7.2,2.54,57,6.31,93.9,1,0,1,85,FAIL
PCB_0029,8,394,4.74,1.78,195,7.84,94.7,1,0,0,80,FAIL
PCB_0030,8,414,8.71,1.72,46,5.99,99.9,0,1,1,75,FAIL
PCB_0031,2,527,5.8,0.41,295,4.14,85.8,1,0,0,75,FAIL
PCB_0032,2,485,5.63,0.59,159,9.58,90.8,1,0,1,90,FAIL
PCB_0033,8,446,0.82,2.92,110,5.41,90.7,1,0,0,90,FAIL
PCB_0034,4,32,9.87,0.76,80,6.05,88.1,0,0,0,60,FAIL
PCB_0035,4,574,1.67,2.93,182,2.2,83.4,1,1,0,90,FAIL
PCB_0036,2,467,2.7,1.64,162,6.26,99.5,1,1,0,80,FAIL
PCB_0037,8,92,0.99,0.49,272,5.72,97.1,1,0,1,55,PASS
PCB_0038,2,154,6.58,0.39,288,1.85,90.0,0,1,1,65,FAIL
PCB_0039,2,94,2.63,0.71,206,0.6,92.1,0,0,1,75,FAIL
PCB_0040,6,87,2.21,2.78,105,6.04,84.5,1,1,1,45,PASS
PCB_0041,6,466,1.34,1.3,185,7.64,90.9,0,1,1,120,FAIL
PCB_0042,6,10,1.48,1.25,133,5.23,93.9,1,1,0,60,FAIL
PCB_0043,4,60,6.05,1.01,202,2.27,90.3,0,1,0,65,FAIL
PCB_0044,8,455,7.04,0.53,226,6.67,99.8,0,1,0,65,FAIL
PCB_0045,8,458,4.28,1.51,275,0.8,92.2,1,0,0,70,FAIL
PCB_0046,8,497,5.06,0.48,254,4.42,87.4,1,1,0,45,PASS
PCB_0047,8,43,7.02,2.52,22,1.63,95.4,1,0,1,30,PASS
PCB_0048,6,357,0.67,1.17,227,1.84,83.4,0,0,0,115,FAIL
PCB_0049,4,104,3.57,1.19,216,2.02,87.7,1,1,0,45,PASS
PCB_0050,4,81,9.74,1.47,144,3.87,86.9,0,0,1,70,FAIL
PCB_0051,6,560,6.01,1.39,157,0.51,88.6,0,1,1,90,FAIL
PCB_0052,4,163,2.92,2.99,44,3.98,95.6,1,0,0,35,PASS
PCB_0053,6,259,5.46,1.68,87,5.12,89.7,0,0,0,70,FAIL
PCB_0054,8,447,3.76,0.36,80,4.83,95.9,1,1,1,30,PASS
PCB_0055,6,127,5.56,1.86,48,3.83,91.5,0,1,0,50,PASS
PCB_0056,8,315,1.69,0.54,38,8.39,86.8,1,1,0,65,FAIL
PCB_0057,8,277,1.76,0.19,190,1.45,96.2,0,1,0,50,PASS
PCB_0058,2,63,1.86,2.92,93,5.06,84.8,0,0,1,110,FAIL
PCB_0059,6,245,9.43,2.34,80,0.62,84.5,1,1,0,30,PASS
PCB_0060,2,398,7.46,2.94,172,0.71,90.1,0,0,0,110,FAIL
PCB_0061,6,410,2.04,1.49,295,5.74,85.2,1,0,1,90,FAIL
